company_code,period_code,check_code,check_name,statement_scope,lhs_label,lhs_value,rhs_label,rhs_value,variance_value,variance_ratio,status,interpretation
002594.SZ,20251231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,129078985901.77,Revenue - Operating Cost,142659797000.0,-13580811098.23,0.095197,warn,A loose bridge between disclosed gross margin and revenue-cost spread.
002594.SZ,20251231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,59135544000.0,Net Profit,33760758000.0,25374786000.0,1.7516,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600196.SH,20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,113469604813.45,Total Liabilities + Shareholder Equity,113469604813.45,0.0,0.0,pass,Public balance-sheet totals should tie out.
600196.SH,20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-1667678082.51,Operating + Investing + Financing,-1741323107.69,73645025.18,0.042293,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600196.SH,20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,19532965170.45,Revenue - Operating Cost,19804230831.48,-271265661.03,0.013697,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600196.SH,20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,3414217063.59,Net Profit,2895063426.58,519153637.01,1.1793,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600196.SH,20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,117460567349.27,Total Liabilities + Shareholder Equity,117460567349.27,0.0,0.0,pass,Public balance-sheet totals should tie out.
600196.SH,20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-110939118.93,Operating + Investing + Financing,-138928446.36,27989327.43,0.201466,warn,Net cash flow should broadly reconcile to the three cash flow sections.
600196.SH,20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,19387576763.55,Revenue - Operating Cost,19701621890.19,-314045126.64,0.01594,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600196.SH,20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,4476981262.22,Net Profit,3512440385.0,964540877.22,1.2746,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600196.SH,20251231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,120053968926.05,Total Liabilities + Shareholder Equity,120053968926.05,0.0,0.0,pass,Public balance-sheet totals should tie out.
600196.SH,20251231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-353439666.41,Operating + Investing + Financing,-176628917.53,-176810748.88,1.001029,warn,Net cash flow should broadly reconcile to the three cash flow sections.
600196.SH,20251231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,20516886122.02,Revenue - Operating Cost,20861509555.93,-344623433.91,0.01652,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600196.SH,20251231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,5213226878.35,Net Profit,4247929628.38,965297249.97,1.2272,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600519.SH,20221231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,254500826096.02,Total Liabilities + Shareholder Equity,254500826096.02,0.0,0.0,pass,Public balance-sheet totals should tie out.
600519.SH,20221231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-26261848396.69,Operating + Investing + Financing,-26262759484.7,911088.01,3.5e-05,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600519.SH,20221231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,98168971077.26,Revenue - Operating Cost,117460490739.34,-19291519662.08,0.164238,warn,A loose bridge between disclosed gross margin and revenue-cost spread.
600519.SH,20221231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,36698595830.03,Net Profit,65376039957.88,-28677444127.85,0.5613,warn,Cash conversion below 0.8x or negative should trigger follow-up.
600519.SH,20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,272699660092.25,Total Liabilities + Shareholder Equity,272699660092.25,0.0,0.0,pass,Public balance-sheet totals should tie out.
600519.SH,20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-2018550030.36,Operating + Investing + Financing,-2020268286.01,1718255.65,0.000851,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600519.SH,20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,115797003968.69,Revenue - Operating Cost,138693056464.67,-22896052495.98,0.165084,warn,A loose bridge between disclosed gross margin and revenue-cost spread.
600519.SH,20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,66593247721.09,Net Profit,77521476277.8,-10928228556.71,0.859,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600519.SH,20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,298944579918.7,Total Liabilities + Shareholder Equity,298944579918.7,0.0,0.0,pass,Public balance-sheet totals should tie out.
600519.SH,20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,19609900305.36,Operating + Investing + Financing,19610983052.91,-1082747.55,5.5e-05,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600519.SH,20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,132655290155.12,Revenue - Operating Cost,160354587590.27,-27699297435.15,0.172738,warn,A loose bridge between disclosed gross margin and revenue-cost spread.
600519.SH,20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,92463692168.43,Net Profit,89334728025.9,3128964142.53,1.035,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600612.SH,20221231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,26004840307.89,Total Liabilities + Shareholder Equity,26004840307.89,0.0,0.0,pass,Public balance-sheet totals should tie out.
600612.SH,20221231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-1468897435.24,Operating + Investing + Financing,-1447434795.83,-21462639.41,0.014828,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600612.SH,20221231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,4561430359.14,Revenue - Operating Cost,4777231984.2,-215801625.06,0.045173,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600612.SH,20221231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,964083141.66,Net Profit,2267851013.07,-1303767871.41,0.4251,warn,Cash conversion below 0.8x or negative should trigger follow-up.
600612.SH,20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,24333847842.95,Total Liabilities + Shareholder Equity,24333847842.95,0.0,0.0,pass,Public balance-sheet totals should tie out.
600612.SH,20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,3736857662.94,Operating + Investing + Financing,3731532430.92,5325232.02,0.001427,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600612.SH,20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,5673990126.4,Revenue - Operating Cost,5930522075.57,-256531949.17,0.043256,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600612.SH,20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,7211579960.46,Net Profit,2975393871.81,4236186088.65,2.4237,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600612.SH,20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,22731142401.49,Total Liabilities + Shareholder Equity,22731142401.49,0.0,0.0,pass,Public balance-sheet totals should tie out.
600612.SH,20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-1157987944.41,Operating + Investing + Financing,-1171395682.49,13407738.08,0.011446,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600612.SH,20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,4825747505.38,Revenue - Operating Cost,5068957565.05,-243210059.67,0.04798,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600612.SH,20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,2938650017.71,Net Profit,2543870523.8,394779493.91,1.1552,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600998.SH,20221231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,92311934461.19,Total Liabilities + Shareholder Equity,92311934461.19,0.0,0.0,pass,Public balance-sheet totals should tie out.
600998.SH,20221231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,582986689.87,Operating + Investing + Financing,573386444.95,9600244.92,0.016743,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600998.SH,20221231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,10596971196.97,Revenue - Operating Cost,10948013456.28,-351042259.31,0.032064,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600998.SH,20221231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,3986228156.04,Net Profit,2285532936.81,1700695219.23,1.7441,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600998.SH,20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,92789102474.22,Total Liabilities + Shareholder Equity,92789102474.22,0.0,0.0,pass,Public balance-sheet totals should tie out.
600998.SH,20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,1148580315.49,Operating + Investing + Financing,1149589296.24,-1008980.75,0.000878,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600998.SH,20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,11679228537.73,Revenue - Operating Cost,12110883608.21,-431655070.48,0.035642,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600998.SH,20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,4747695757.88,Net Profit,2289661075.72,2458034682.16,2.0735,pass,Cash conversion below 0.8x or negative should trigger follow-up.
600998.SH,20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,102395867613.5,Total Liabilities + Shareholder Equity,102395867613.5,0.0,0.0,pass,Public balance-sheet totals should tie out.
600998.SH,20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-1008772484.68,Operating + Investing + Financing,-1008929291.89,156807.21,0.000155,pass,Net cash flow should broadly reconcile to the three cash flow sections.
600998.SH,20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,11421562026.83,Revenue - Operating Cost,11842082588.87,-420520562.04,0.035511,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
600998.SH,20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,3082502072.58,Net Profit,2786438947.55,296063125.03,1.1063,pass,Cash conversion below 0.8x or negative should trigger follow-up.
COMP-001,2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,9698625.22,Total Liabilities + Total Equity,9698625.22,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-001,2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,262110.73,Ending Cash,262110.73,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-001,2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,593906.51,Fixed Asset Delta + Depreciation,380364.12,213542.39,0.3596,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-001,2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,1979688.35,Gross Profit,1979688.35,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-001,2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,43025.23,Net Profit,362942.86,-319917.63,0.8815,fail,Large gaps between profit and operating cash need working-capital explanation.
COMP-001,2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,12072055.12,Total Liabilities + Total Equity,12072055.12,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-001,2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,314026.09,Ending Cash,314026.09,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-001,2024FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,856545.16,Fixed Asset Delta + Depreciation,406496.01,450049.15,0.5254,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-001,2024FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,2452833.87,Gross Profit,2452833.87,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-001,2024FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,-227928.12,Net Profit,498353.55,-726281.67,1.4574,fail,Large gaps between profit and operating cash need working-capital explanation.
COMP-001,2025FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,16414520.0,Total Liabilities + Total Equity,16414520.0,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-001,2025FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,482780.0,Ending Cash,482780.0,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-001,2025FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,1405855.36,Fixed Asset Delta + Depreciation,582450.71,823404.65,0.5857,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-001,2025FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3186348.0,Gross Profit,3186348.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-001,2025FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,482780.0,Net Profit,675892.0,-193112.0,0.2857,warn,Large gaps between profit and operating cash need working-capital explanation.
COMP-002,2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,5917260.6,Total Liabilities + Total Equity,5917260.6,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-002,2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1119302.35,Ending Cash,1119302.35,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-002,2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,266553.24,Fixed Asset Delta + Depreciation,111739.11,154814.13,0.5808,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-002,2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3092017.54,Gross Profit,3092017.54,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-002,2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,878732.73,Net Profit,788464.48,90268.25,0.1145,pass,Large gaps between profit and operating cash need working-capital explanation.
COMP-002,2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,7253632.71,Total Liabilities + Total Equity,7253632.71,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-002,2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1540863.75,Ending Cash,1540863.75,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-002,2024FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,364644.83,Fixed Asset Delta + Depreciation,102356.44,262288.39,0.7193,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-002,2024FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3616061.21,Gross Profit,3616061.21,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-002,2024FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,696503.6,Net Profit,935921.72,-239418.12,0.2558,warn,Large gaps between profit and operating cash need working-capital explanation.
COMP-002,2025FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,8917841.32,Total Liabilities + Total Equity,8917841.32,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-002,2025FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1868041.32,Ending Cash,1868041.32,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-002,2025FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,493486.0,Fixed Asset Delta + Depreciation,126410.21,367075.79,0.7438,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-002,2025FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,4300378.0,Gross Profit,4300378.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-002,2025FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,719146.45,Net Profit,1127968.0,-408821.55,0.3624,warn,Large gaps between profit and operating cash need working-capital explanation.
COMP-003,2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,9731169.96,Total Liabilities + Total Equity,9731169.96,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-003,2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1265927.97,Ending Cash,1265927.97,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-003,2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,403253.34,Fixed Asset Delta + Depreciation,403253.34,0.0,0.0,pass,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-003,2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,2798427.1,Gross Profit,2798427.1,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-003,2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,989401.39,Net Profit,796852.11,192549.28,0.2416,pass,Large gaps between profit and operating cash need working-capital explanation.
COMP-003,2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,11593579.78,Total Liabilities + Total Equity,11593579.78,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-003,2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1624183.24,Ending Cash,1624183.24,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-003,2024FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,478531.03,Fixed Asset Delta + Depreciation,369392.37,109138.66,0.2281,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-003,2024FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3309839.65,Gross Profit,3309839.65,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-003,2024FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,699878.57,Net Profit,908411.41,-208532.84,0.2296,pass,Large gaps between profit and operating cash need working-capital explanation.
COMP-003,2025FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,13916492.34,Total Liabilities + Total Equity,13916492.34,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-003,2025FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1796896.34,Ending Cash,1796896.34,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-003,2025FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,647612.0,Fixed Asset Delta + Depreciation,456199.59,191412.41,0.2956,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-003,2025FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3978188.0,Gross Profit,3978188.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-003,2025FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,663871.29,Net Profit,1093076.54,-429205.25,0.3927,warn,Large gaps between profit and operating cash need working-capital explanation.
COMP-004,2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,6724687.59,Total Liabilities + Total Equity,6724687.59,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-004,2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,704993.49,Ending Cash,704993.49,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-004,2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,275711.18,Fixed Asset Delta + Depreciation,264866.54,10844.64,0.0393,warn,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-004,2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,1654267.08,Gross Profit,1654267.08,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-004,2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,443527.39,Net Profit,344638.98,98888.41,0.2869,warn,Large gaps between profit and operating cash need working-capital explanation.
COMP-004,2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,8575911.82,Total Liabilities + Total Equity,8575911.82,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-004,2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1422125.73,Ending Cash,1422125.73,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-004,2024FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,411728.7,Fixed Asset Delta + Depreciation,222407.02,189321.68,0.4598,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-004,2024FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,1929978.26,Gross Profit,1929978.26,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-004,2024FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,139877.47,Net Profit,432315.13,-292437.66,0.6764,fail,Large gaps between profit and operating cash need working-capital explanation.
COMP-004,2025FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,9931219.76,Total Liabilities + Total Equity,9931219.76,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-004,2025FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1112505.76,Ending Cash,1112505.76,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-004,2025FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,532674.0,Fixed Asset Delta + Depreciation,283063.48,249610.52,0.4686,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-004,2025FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,2308254.0,Gross Profit,2308254.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-004,2025FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,6433.27,Net Profit,532674.0,-526240.73,0.9879,fail,Large gaps between profit and operating cash need working-capital explanation.
COMP-005,2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,7284258.22,Total Liabilities + Total Equity,7284258.22,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-005,2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,781755.9,Ending Cash,781755.9,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
COMP-005,2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,297824.53,Fixed Asset Delta + Depreciation,286110.1,11714.43,0.0393,warn,High variance suggests capex or fixed asset roll-forward needs manual support.
COMP-005,2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,2233684.0,Gross Profit,2233684.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
COMP-005,2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,501915.0,Net Profit,502082.52,-167.52,0.0003,pass,Large gaps between profit and operating cash need working-capital explanation.
COMP-005,2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,9218423.9,Total Liabilities + Total Equity,9218423.9,0.0,0.0,pass,Total assets should equal liabilities plus equity.
COMP-005,2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1490869.99,Ending Cash,1490869.99,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
