company_code,period_code,declared_revenue_cny,invoiced_amount_cny,bank_receipts_cny,output_tax_cny,input_tax_cny,invoice_count,revenue_invoice_gap_cny,invoice_receipt_gap_cny,gap_ratio,status,check_note
600612.SH,20250930,46945428871.63,47281439098.73,45121373353.1,6102905753.31,3849525167.47,86,720021915.21,2160065745.63,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20240630,75473118982.1,76013315130.24,71978079032.58,9811505467.67,6188795756.53,86,1157563174.57,4035236097.66,0.0523,warn,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20240930,110933611941.6,111727615299.05,107336801590.85,14421369552.41,9096556179.21,86,1701435765.98,4390813708.2,0.0387,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20241231,148469983282.49,149532651874.49,154395406821.71002,19301097826.72,12174538629.16,120,2277146982.86,4862754947.22,0.032,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20250331,41091820417.9,41385933651.97,35599953547.22,5341936654.33,3369529274.27,86,630242644.45,5785980104.75,0.1377,fail,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20250630,79321868059.21,79889611491.13,79281650969.63,10311842847.7,6504393180.86,86,1216593068.39,607960521.5,0.015,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600998.SH,20250930,116701387114.74,117536673116.58,119919841908.49,15171180324.92,9569513743.41,86,1789898575.38,2383168791.91,0.02,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
COMP-001,2025-07,595200.0,563200.0,576000.0,77376.0,41664.0,8,32000.0,12800.0,0.05,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-001,2025-08,627900.0,607200.0,607200.0,81627.0,43953.0,9,20700.0,0.0,0.03,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-001,2025-09,668800.0,668800.0,630800.0,86944.0,46816.0,10,0.0,38000.0,0.05,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-001,2025-10,664200.0,712800.0,656100.0,86346.0,46494.0,11,48600.0,56700.0,0.07,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-001,2025-11,720000.0,792000.0,711000.0,93600.0,50400.0,12,72000.0,81000.0,0.09,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-001,2025-12,764400.0,862400.0,725200.0,99372.0,53508.0,13,98000.0,137200.0,0.14,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-07,519400.0,514100.0,508800.0,67522.0,36358.0,8,5300.0,5300.0,0.01,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-08,544500.0,533500.0,522500.0,70785.0,38115.0,9,11000.0,11000.0,0.02,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-09,557750.0,557750.0,557750.0,72507.5,39042.5,10,0.0,0.0,0.0,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-10,578200.0,572300.0,554600.0,75166.0,40474.0,11,5900.0,17700.0,0.03,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-11,591700.0,591700.0,585600.0,76921.0,41419.0,12,0.0,6100.0,0.01,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-002,2025-12,628650.0,615950.0,603250.0,81724.5,44005.5,13,12700.0,12700.0,0.02,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-07,672000.0,679000.0,623000.0,87360.0,47040.0,8,7000.0,56000.0,0.08,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-08,684000.0,698400.0,655200.0,88920.0,47880.0,9,14400.0,43200.0,0.06,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-09,729600.0,737200.0,684000.0,94848.0,51072.0,10,7600.0,53200.0,0.07,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-10,733200.0,756600.0,686400.0,95316.0,51324.0,11,23400.0,70200.0,0.09,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-11,750500.0,766300.0,726800.0,97565.0,52535.0,12,15800.0,39500.0,0.05,pass,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-003,2025-12,788500.0,805100.0,747000.0,102505.0,55195.0,13,16600.0,58100.0,0.07,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-07,399000.0,394800.0,361200.0,51870.0,27930.0,8,4200.0,33600.0,0.08,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-08,413850.0,418300.0,373800.0,53800.5,28969.5,9,4450.0,44500.0,0.1,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-09,432400.0,441800.0,390100.0,56212.0,30268.0,10,9400.0,51700.0,0.11,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-10,450450.0,465300.0,430650.0,58558.5,31531.5,11,14850.0,34650.0,0.07,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-11,480600.0,507600.0,459000.0,62478.0,33642.0,12,27000.0,48600.0,0.09,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-004,2025-12,504000.0,526400.0,470400.0,65520.0,35280.0,13,22400.0,56000.0,0.1,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-07,465600.0,451200.0,384000.0,60528.0,32592.0,8,14400.0,67200.0,0.14,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-08,475000.0,470000.0,395000.0,61750.0,33250.0,9,5000.0,75000.0,0.15,fail,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-09,499200.0,488800.0,400400.0,64896.0,34944.0,10,10400.0,88400.0,0.17,fail,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-10,513000.0,507600.0,432000.0,66690.0,35910.0,11,5400.0,75600.0,0.14,warn,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-11,521700.0,521700.0,432900.0,67821.0,36519.0,12,0.0,88800.0,0.16,fail,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
COMP-005,2025-12,547200.0,535800.0,450300.0,71136.0,38304.0,13,11400.0,85500.0,0.15,fail,"Revenue, invoice, and bank receipt consistency summary for demo tax dimension."
