company_code,period_code,inflow_total_cny,outflow_total_cny,net_flow_cny,average_daily_balance_cny,top_inflow_counterparty,top_outflow_counterparty,transaction_count,large_transaction_count,abnormal_fluctuation_flag,summary_note
COMP-001,2025-08,607200.0,489900.0,117300.0,289800.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,20,4,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-001,2025-09,630800.0,539600.0,91200.0,319200.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,22,4,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-001,2025-10,656100.0,575100.0,81000.0,340200.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,24,4,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-001,2025-11,711000.0,639000.0,72000.0,378000.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,26,4,1,Monthly settlement summary derived from seeded bank statement behavior.
COMP-001,2025-12,725200.0,695800.0,29400.0,411600.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,28,4,1,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-07,508800.0,339200.0,169600.0,344500.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,18,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-08,522500.0,352000.0,170500.0,357500.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,20,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-09,557750.0,368000.0,189750.0,373750.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,22,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-10,554600.0,377600.0,177000.0,383500.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,24,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-11,585600.0,390400.0,195200.0,396500.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,26,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-002,2025-12,603250.0,406400.0,196850.0,412750.0,昆山锐控精密制造有限公司,苏州象限云服务有限公司,28,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-07,623000.0,448000.0,175000.0,455000.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,18,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-08,655200.0,460800.0,194400.0,468000.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,20,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-09,684000.0,486400.0,197600.0,494000.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,22,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-10,686400.0,499200.0,187200.0,507000.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,24,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-11,726800.0,505600.0,221200.0,513500.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,26,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-003,2025-12,747000.0,531200.0,215800.0,539500.0,重庆弘冠电子有限公司,成都维拓工控配件有限公司,28,2,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-07,361200.0,281400.0,79800.0,218400.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,18,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-08,373800.0,298150.0,75650.0,231400.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,20,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-09,390100.0,314900.0,75200.0,244400.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,22,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-10,430650.0,331650.0,99000.0,257400.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,24,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-11,459000.0,361800.0,97200.0,280800.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,26,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-004,2025-12,470400.0,375200.0,95200.0,291200.0,绍兴万景产业园运营有限公司,杭州芯联物联模组有限公司,28,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-07,384000.0,321600.0,62400.0,249600.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,18,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-08,395000.0,335000.0,60000.0,260000.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,20,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-09,400400.0,348400.0,52000.0,270400.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,22,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-10,432000.0,361800.0,70200.0,280800.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,24,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-11,432900.0,371850.0,61050.0,288600.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,26,3,0,Monthly settlement summary derived from seeded bank statement behavior.
COMP-005,2025-12,450300.0,381900.0,68400.0,296400.0,襄阳医联智慧医院管理有限公司,武汉数联机房运维有限公司,28,3,0,Monthly settlement summary derived from seeded bank statement behavior.
